date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:13	123/123	---MC-	200	added ('OK')	text/plain	date:Wed,%2006%20Nov%202024%2012:17:14%20GMT	https://www.trueblueenergy.com/robots.txt		(from )
12:16:20	145719/145719	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2012:17:13%20GMT	https://www.trueblueenergy.com/	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/index.html	(from )
12:16:22	14253/14253	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2014%20Jun%202023%2011:49:43%20GMT	https://www.trueblueenergy.com/feed/	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/feed/index.html	(from https://www.trueblueenergy.com/)
12:16:22	112427/112427	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202024%2023:32:59%20GMT	https://www.trueblueenergy.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.2	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-includes/css/dist/block-library/style.min109c.css	(from https://www.trueblueenergy.com/)
12:16:23	749/749	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2014%20Jun%202023%2011:49:43%20GMT	https://www.trueblueenergy.com/comments/feed/	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/comments/feed/index.html	(from https://www.trueblueenergy.com/)
12:16:23	2731/2731	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Dec%202021%2018:36:28%20GMT	https://www.trueblueenergy.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from https://www.trueblueenergy.com/)
12:16:23	3109/3109	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jan%202022%2015:41:39%20GMT	https://www.trueblueenergy.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-public.css?ver=2.0.8	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-publica7f4.css	(from https://www.trueblueenergy.com/)
12:16:24	28760/28760	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Jan%202022%2015:41:39%20GMT	https://www.trueblueenergy.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpr.css?ver=2.0.8	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-content/plugins/cookie-law-info/public/css/cookie-law-info-gdpra7f4.css	(from https://www.trueblueenergy.com/)
12:16:24	20766/20766	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202019%2002:06:32%20GMT	https://www.trueblueenergy.com/wp-content/plugins/dhvc-form/assets/fonts/font-awesome/css/font-awesome.min.css?ver=4.1.0	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-content/plugins/dhvc-form/assets/fonts/font-awesome/css/font-awesome.minbfce.css	(from https://www.trueblueenergy.com/)
12:16:24	17550/17550	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Nov%202019%2002:06:22%20GMT	https://www.trueblueenergy.com/wp-content/plugins/dhvc-form/assets/css/style.min.css?ver=2.2.3	C:/Users/cboy/Downloads/dav3/www.trueblueenergy.com/wp-content/plugins/dhvc-form/assets/css/style.min950a.css	(from https://www.trueblueenergy.com/)
